tag_unificado,cantidad,tags_agrupados
carta,2,carta (2)
casino,2,casino (2)
cocaina,2,cocaina (2)
colectivos,2,colectivos (2)
comisaria,2,comisaria (2)
corrupcion de menores,2,corrupcion de menores (2)
corsos,2,Corsos (2)
country,2,country (2)
devoto,2,devoto (2)
dinero,2,dinero (2)
dolares,2,Dólares (2)
estafa piramidal,2,estafa piramidal (2)
estafas,2,estafas (2)
explosion,2,Explosión (2)
extorsion,2,extorsion (2)
falsa medica,2,falsa médica (2)
familia,2,Familia (2)
fiesta,2,fiesta (2)
fiestas clandestinas,2,Fiestas clandestinas (2)
fuego,2,fuego (2)
fuga,2,Fuga (2)
fuga de gas,2,fuga de gas (2)
gran hermano,2,gran hermano (2)
helicoptero,2,Helicóptero (2)
hermano,2,hermano (2)
hermanos,2,hermanos (2)
hija,2,hija (2)
hijo,2,hijo (2)
influencer,2,influencer (2)
intento de robo,2,intento de robo (2)
intoxicacion,2,intoxicación (2)
inversiones,2,inversiones (2)
jubiladas,2,jubiladas (2)
jugadores,2,Jugadores (2)
la banda del millon,2,la banda del millon (2)
lancha,2,lancha (2)
loan danilo pena,2,Loan Danilo Peña (2)
mama,2,mama (2)
masacre escolar,2,masacre escolar (2)
matrimonio,2,Matrimonio (2)
melchor rodrigo,2,Melchor Rodrigo (2)
menores,2,menores (2)
mujer baleada,2,mujer baleada (2)
mujer desaparecida,2,mujer desaparecida (2)
ninera,2,niñera (2)
novio,2,novio (2)
peluqueria,2,peluquería (2)
peluquero,2,peluquero (2)
pericia,2,Pericia (2)
prision preventiva,2,prisión preventiva (2)
prostibulo,2,prostibulo (2)
protesta,2,Protesta (2)
psiquiatra,2,psiquiatra (2)
punaladas,2,puñaladas (2)
racismo,2,Racismo (2)
rapero asesinado,2,rapero asesinado (2)
reconstruccion,2,reconstruccion (2)
relato,2,relato (2)
restos humanos,2,restos humanos (2)
ruta 3,2,Ruta 3 (2)
secuestro parental,2,secuestro parental (2)
temporal,2,temporal (2)
turco,2,turco (2)
viajes,2,viajes (2)
video,2,video (2)
videos,2,Videos (2)
violacion,2,Violación (2)
viuda negra,2,viuda negra (2)
abigeato,1,abigeato (1)
abogada,1,abogada (1)
abogado,1,abogado (1)
absueltos,1,absueltos (1)
abuso de menores,1,abuso de menores (1)
acarreo,1,acarreo (1)
accidente de transito,1,Accidente de tránsito (1)
accidente faltal,1,accidente faltal (1)
acoso sexual,1,Acoso sexual (1)
adelgazar,1,Adelgazar (1)
adolescente de 15 anos,1,adolescente de 15 años (1)
aduana,1,ADUANA (1)
afa,1,AFA (1)
agencia de turismo,1,agencia de turismo (1)
ahogamiento,1,Ahogamiento (1)
ajuste de cuentas,1,ajuste de cuentas (1)
alcoholemia,1,alcoholemia (1)
alcoholizada,1,alcoholizada (1)
alumno,1,alumno (1)
ampollas,1,ampollas (1)
anestesia,1,anestesia (1)
animales exoticos,1,animales exóticos (1)
apropiacion de menores,1,Apropiación de Menores (1)
arca,1,ARCA (1)
argentina,1,Argentina (1)
arquitecta,1,arquitecta (1)
asalto,1,Asalto (1)
asesinada,1,asesinada (1)
asesinatos,1,asesinatos (1)
asesino,1,asesino (1)
asfixia,1,asfixia (1)
atentado,1,Atentado (1)
atropellada,1,atropellada (1)
automovilista,1,automovilista (1)
balcon,1,balcón (1)
baleado,1,baleado (1)
balistica,1,balística (1)
banco nacion,1,Banco Nación (1)
banda del millon,1,banda del millón (1)
bandas,1,bandas (1)
barbero,1,barbero (1)
beba abandonada,1,beba abandonada (1)
beba muerta,1,beba muerta (1)
bebe abandonado,1,bebe abandonado (1)
bebes,1,Bebés (1)
billete falso,1,Billete falso (1)
blas cinalli,1,blas cinalli (1)
bombero,1,Bombero (1)
bomberos,1,Bomberos (1)
bunker,1,bunker (1)
buque,1,buque (1)
caballos,1,caballos (1)
cabeza,1,cabeza (1)
calvario,1,calvario (1)
camaras,1,cámaras (1)
camioneta,1,camioneta (1)
campo,1,Campo (1)
captura,1,captura (1)
carceles,1,Cárceles (1)
causa,1,causa (1)
celos,1,celos (1)
celular,1,Celular (1)
cementerio,1,Cementerio (1)
chatgpt,1,ChatGPT (1)
chofer asesinado,1,chofer asesinado (1)
ciro pertossi,1,Ciro Pertossi (1)
cirugias,1,Cirugías (1)
clientes,1,clientes (1)
clinica,1,clinica (1)
cocaina adulterada,1,cocaína adulterada (1)
coima,1,coima (1)
comparsa,1,Comparsa (1)
concesionaria,1,concesionaria (1)
conductor,1,conductor (1)
conductora,1,conductora (1)
conicet,1,Conicet (1)
construccion,1,CONSTRUCCIÓN (1)
contrabando,1,Contrabando (1)
control,1,control (1)
corridas,1,corridas (1)
cuchillo,1,cuchillo (1)
cuento del tio,1,cuento del tío (1)
desalojo,1,Desalojo (1)
descarrilamiento,1,descarrilamiento (1)
descuartizada,1,descuartizada (1)
descuartizado,1,descuartizado (1)
destrozos,1,destrozos (1)
diputados,1,Diputados (1)
discapacidad,1,Discapacidad (1)
discusion,1,discusión (1)
docente,1,docente (1)
domiciliaria,1,domiciliaria (1)
dueno,1,dueño (1)
ejercito argentino,1,Ejército Argentino (1)
electrocutado,1,electrocutado (1)
empleada,1,empleada (1)
empresa,1,empresa (1)
encubrimiento,1,encubrimiento (1)
enfermera,1,enfermera (1)
enfrentamiento,1,enfrentamiento (1)
enfrentamiento con la policia,1,enfrentamiento con la policía (1)
engano,1,engaño (1)
enterrada,1,enterrada (1)
entierro,1,entierro (1)
entraderas,1,entraderas (1)
envenenamiento,1,envenenamiento (1)
escape,1,Escape (1)
escuelas,1,Escuelas (1)
escultura,1,escultura (1)
estafadora,1,estafadora (1)
estafas virtuales,1,Estafas virtuales (1)
exmujer,1,exmujer (1)
exnovia,1,exnovia (1)
explotacion sexual infantil,1,explotación sexual infantil (1)
expolicia,1,expolicía (1)
fallo,1,fallo (1)
falso,1,falso (1)
falso medico,1,falso médico (1)
falsos policias,1,falsos policías (1)
fecha,1,fecha (1)
femicida,1,femicida (1)
femicida serial,1,femicida serial (1)
feria,1,feria (1)
fiestas,1,fiestas (1)
fiscal,1,fiscal (1)
fotografo,1,Fotógrafo (1)
fracturas,1,fracturas (1)
fraude,1,fraude (1)
freezer,1,Freezer (1)
futbol,1,Fútbol (1)
futbolista,1,Futbolista (1)
gata,1,Gata (1)
gendarmeria,1,Gendarmería (1)
generacion zoe,1,generación zoe (1)
gimnasio,1,gimnasio (1)
grua,1,grúa (1)
guitarrista,1,guitarrista (1)
hacker,1,hacker (1)
herida,1,herida (1)
heridos,1,heridos (1)
hipopotamo,1,hipopotamo (1)
huesos,1,huesos (1)
identidad,1,identidad (1)
iglesia,1,Iglesia (1)
imputada,1,imputada (1)
imputado,1,imputado (1)
indagatoria,1,indagatoria (1)
indumentaria,1,indumentaria (1)
infarto,1,infarto (1)
infidelidad,1,Infidelidad (1)
inimputable,1,inimputable (1)
inmobiliaria,1,inmobiliaria (1)
inspeccion,1,inspeccion (1)
intendente,1,intendente (1)
intento de asesinato,1,intento de asesinato (1)
intento de homicidio,1,Intento de homicidio (1)
inversores,1,inversores (1)
jardin,1,jardín (1)
jauria,1,jauría (1)
jose luis cabezas,1,José Luis Cabezas (1)
jubilada,1,jubilada (1)
jubilado asesinado,1,jubilado asesinado (1)
juez,1,Juez (1)
jugador,1,Jugador (1)
ketamina,1,ketamina (1)
kiosco,1,kiosco (1)
laboral,1,laboral (1)
laboratorio,1,laboratorio (1)
lavado de dinero,1,Lavado de dinero (1)
leonardo cositorto,1,Leonardo Cositorto (1)
licencia de conducir,1,licencia de conducir (1)
loan,1,Loan (1)
local,1,local (1)
luciano pertossi,1,Luciano Pertossi (1)
ludopatia,1,ludopatia (1)
machete,1,machete (1)
mala praxis,1,Mala praxis (1)
maltrato animal,1,Maltrato animal (1)
maniatado,1,maniatado (1)
manoseo,1,manoseo (1)
maria cash,1,Maria Cash (1)
marita veron,1,Marita Verón (1)
masacre,1,masacre (1)
matricidio,1,matricidio (1)
maximo thomsen,1,Máximo Thomsen (1)
medica,1,médica (1)
medicina estetica,1,medicina estética (1)
medico,1,medico (1)
medicos,1,Medicos (1)
menonitas,1,menonitas (1)
menor,1,menor (1)
menores de edad,1,menores de edad (1)
mensaje,1,mensaje (1)
milanesa,1,milanesa (1)
militante,1,militante (1)
millonario,1,millonario (1)
